507,824,201,-272,-85,202
498,817,208,-263,-93,212
488,811,214,-248,-100,220
480,806,219,-230,-105,225
473,801,227,-209,-106,223
469,796,234,-187,-105,215
467,792,243,-167,-101,198
465,789,249,-148,-92,175
462,788,254,-130,-77,144
460,790,257,-112,-62,112
458,792,259,-94,-47,79
458,795,262,-77,-34,46
459,800,264,-60,-22,14
459,805,265,-46,-11,-14
461,811,265,-32,0,-39
464,817,265,-19,9,-58
469,823,266,-8,13,-72
472,829,265,1,15,-79
477,837,264,8,14,-82
482,841,260,14,10,-80
487,845,258,20,8,-73
492,849,256,24,8,-64
496,850,255,25,6,-54
499,850,253,24,6,-44
502,850,251,24,8,-34
505,850,247,24,10,-26
505,849,244,26,11,-20
505,848,240,30,10,-15
504,846,236,34,7,-12
502,844,233,38,4,-10
500,844,231,42,0,-7
499,844,228,44,-4,-5
500,845,226,45,-9,-4
501,847,225,44,-11,-5
502,847,224,41,-10,-7
503,848,223,37,-8,-10
505,850,222,32,-7,-13
506,850,222,28,-6,-16
508,850,223,23,-3,-18
509,851,223,19,-0,-19
511,850,222,15,1,-20
512,850,223,14,2,-20
512,850,222,13,4,-18
512,850,223,13,4,-16
514,851,222,12,2,-13
516,851,223,12,1,-11
516,852,224,11,2,-8
517,851,225,9,3,-6
518,850,226,6,5,-4
518,848,226,3,7,-3
519,846,226,1,9,-1
518,843,226,-1,10,-0
517,839,228,-2,11,1
517,834,229,-2,13,2
517,830,229,1,15,2
516,826,228,5,16,2
514,825,226,11,16,2
515,825,226,18,14,1
515,827,224,26,11,-0
515,829,223,32,9,-2
516,833,221,37,8,-5
516,837,219,40,8,-8
518,842,217,41,9,-12
520,845,216,40,11,-15
522,848,214,37,11,-19
525,850,214,34,12,-22
527,850,213,29,15,-23
529,851,212,25,16,-22
529,851,210,22,17,-20
530,850,208,21,16,-16
531,849,207,20,13,-10
532,848,207,20,10,-5
533,846,208,20,9,-1
532,845,207,20,8,2
532,844,207,19,8,5
530,842,205,19,8,7
529,841,205,19,8,8
527,840,204,19,7,9
525,840,205,19,6,9
524,839,204,18,5,8
526,839,203,17,5,5
527,839,202,16,5,2
528,839,202,15,7,-2
529,840,200,13,8,-4
529,841,199,12,7,-5
530,841,199,10,7,-5
532,842,198,8,6,-4
533,842,198,6,7,-2
535,842,198,5,6,-0
535,842,198,4,6,2
535,842,198,3,6,4
535,842,198,3,7,7
535,841,198,2,6,10
535,841,197,3,5,12
534,841,198,3,4,13
533,841,198,2,2,14
532,842,199,2,1,14
531,843,199,0,0,14
530,845,197,-1,-0,13
529,846,196,-3,-2,13
529,848,196,-5,-4,13
529,849,195,-9,-6,13
529,850,195,-13,-8,13
530,851,194,-18,-9,14
532,850,194,-24,-11,15
534,850,193,-29,-12,16
534,848,193,-33,-12,18
534,843,192,-37,-11,21
533,837,191,-40,-8,27
529,829,192,-43,-5,35
524,822,192,-46,1,45
518,817,191,-47,4,55
511,816,190,-44,2,64
505,818,190,-40,-6,69
500,822,192,-37,-16,71
494,830,197,-40,-23,71
490,837,204,-50,-23,69
486,847,210,-69,-13,66
481,862,210,-90,-0,62
468,885,204,-107,8,60
452,907,200,-122,6,63
437,921,215,-144,-5,69
436,924,249,-183,-19,71
442,916,293,-236,-21,64
459,901,341,-294,-1,39
476,880,394,-347,26,2
485,845,457,-386,49,-47
491,802,531,-414,63,-96
515,746,627,-429,84,-147
539,666,740,-436,121,-200
569,565,856,-433,164,-247
646,450,960,-387,229,-301
731,347,1021,-275,335,-368
801,286,1012,-47,447,-456
852,261,968,246,528,-536
900,265,891,565,601,-571
918,266,782,856,682,-544
933,298,634,1093,692,-409
951,351,472,1283,662,-215
972,421,319,1414,618,10
982,484,181,1487,583,207
968,526,61,1503,546,355
920,547,-40,1442,523,437
856,561,-132,1336,523,471
773,569,-214,1198,528,463
690,574,-280,1054,531,435
604,578,-335,915,530,396
523,586,-380,795,509,359
450,598,-414,702,460,334
392,612,-431,626,398,317
347,627,-435,563,329,304
311,642,-438,509,258,291
289,656,-432,459,194,273
276,670,-421,410,140,242
265,688,-408,360,99,201
255,709,-400,310,73,151
244,729,-396,264,54,99
231,748,-388,221,33,47
220,766,-377,179,10,-2
217,785,-363,136,-11,-50
221,805,-351,93,-28,-101
226,825,-338,53,-39,-152
232,840,-324,11,-53,-201
242,851,-308,-32,-74,-244
257,858,-291,-82,-101,-276
275,861,-272,-133,-121,-298
293,861,-248,-186,-134,-309
312,858,-226,-237,-149,-313
330,853,-205,-282,-170,-310
348,849,-184,-319,-193,-304
363,845,-158,-348,-217,-296
377,844,-129,-374,-241,-288
388,843,-104,-393,-260,-278
399,842,-81,-404,-277,-269
410,843,-54,-411,-296,-262
428,844,-26,-416,-319,-260
447,842,4,-421,-341,-261
465,839,33,-427,-349,-262
482,839,62,-435,-351,-261
498,840,90,-443,-354,-259
513,840,115,-449,-359,-254
527,839,137,-451,-363,-245
539,840,157,-448,-364,-229
548,840,176,-442,-368,-210
554,839,193,-432,-374,-185
558,835,206,-420,-380,-159
560,832,218,-407,-383,-133
564,829,229,-395,-384,-110
569,828,243,-385,-386,-95
575,827,260,-381,-388,-84
584,824,276,-383,-384,-77
594,819,292,-392,-366,-71
600,814,304,-401,-343,-64
606,807,314,-406,-320,-54
610,801,321,-407,-299,-42
612,797,330,-400,-282,-28
611,793,338,-389,-265,-13
608,790,346,-374,-250,1
606,787,353,-358,-237,14
605,784,359,-343,-223,25
606,783,361,-327,-206,33
607,781,362,-311,-188,37
604,780,361,-295,-172,41
601,777,359,-277,-159,45
596,773,355,-259,-153,51
594,771,353,-242,-154,57
593,767,353,-225,-160,67
594,762,355,-211,-160,77
594,758,355,-197,-155,88
590,756,353,-182,-153,99
584,754,348,-166,-158,111
576,754,344,-150,-169,124
566,756,343,-135,-183,137
555,759,340,-127,-199,148
544,761,342,-124,-214,156
526,756,350,-134,-224,163
499,745,366,-154,-230,170
468,731,389,-184,-252,180
439,713,422,-216,-290,192
433,693,463,-241,-339,201
453,666,509,-251,-378,194
499,632,569,-233,-398,167
556,584,655,-173,-393,120
648,525,755,-69,-371,76
788,478,837,126,-283,29
950,455,884,387,-144,-27
1091,442,907,671,59,-73
1172,429,884,925,322,-54
1175,404,719,1180,575,107
1190,422,477,1458,629,356
1204,442,250,1724,547,657
1219,445,60,1916,494,919
1198,429,-97,2005,485,1091
1085,399,-224,1947,548,1173
955,371,-352,1809,616,1216
827,346,-473,1615,660,1218
713,323,-570,1416,679,1186
616,307,-630,1223,683,1123
533,296,-676,1052,690,1048
462,292,-713,914,691,966
402,293,-742,807,670,883
353,299,-755,720,633,798
314,313,-749,641,588,711
283,329,-742,566,545,623
257,347,-742,496,504,531
233,367,-742,436,462,442
211,394,-741,385,416,354
191,421,-737,340,367,271
175,448,-734,300,309,191
165,471,-735,264,246,117
162,493,-736,232,177,47
163,513,-734,201,106,-21
165,532,-728,171,41,-86
175,555,-719,136,-13,-151
189,575,-711,101,-56,-216
203,588,-704,61,-97,-277
217,603,-695,18,-136,-329
236,623,-684,-29,-171,-373
252,645,-673,-74,-202,-407
264,665,-663,-116,-226,-432
279,684,-650,-153,-247,-448
292,702,-635,-188,-274,-460
303,719,-616,-221,-310,-468
317,735,-596,-254,-343,-474
337,747,-573,-289,-371,-482
358,760,-545,-327,-395,-492
378,775,-517,-369,-403,-503
398,789,-488,-413,-401,-512
418,800,-459,-457,-388,-518
436,811,-430,-501,-372,-520
454,823,-398,-543,-354,-516
470,833,-362,-589,-338,-504
487,844,-327,-633,-320,-486
499,854,-290,-681,-300,-459
509,863,-257,-730,-272,-423
522,872,-227,-773,-234,-381
