-418,528,748,8,13,-5
-418,528,748,8,13,-5
-419,527,747,9,13,-4
-419,527,747,11,13,-4
-419,527,746,12,13,-4
-419,527,745,13,13,-4
-419,528,745,13,13,-4
-419,529,745,13,13,-6
-419,530,744,12,13,-7
-419,531,744,11,13,-8
-419,532,744,11,13,-8
-420,533,744,10,13,-8
-420,534,744,9,14,-7
-419,536,745,9,13,-6
-418,538,745,8,12,-6
-418,540,745,7,12,-4
-418,541,746,5,12,-2
-417,542,746,4,12,0
-418,541,745,3,11,4
-418,540,745,2,10,8
-419,538,745,3,9,12
-419,536,745,5,9,16
-419,535,745,7,7,18
-418,534,747,9,5,18
-418,533,747,10,5,18
-417,533,748,10,5,17
-418,533,747,9,7,16
-418,533,745,8,8,15
-419,533,744,7,7,15
-420,532,744,6,6,15
-420,531,744,5,6,15
-419,531,743,5,6,14
-419,531,743,5,5,12
-419,532,743,5,4,10
-419,533,744,4,4,9
-419,534,745,4,4,8
-418,535,745,4,5,8
-418,536,745,4,6,8
-417,537,745,5,5,9
-416,539,745,5,4,10
-416,540,746,5,3,14
-417,540,745,4,3,17
-418,539,745,3,1,22
-418,537,744,2,0,26
-419,535,744,3,-1,29
-419,533,744,3,-3,32
-419,530,745,4,-4,33
-419,528,745,5,-4,34
-420,527,745,6,-4,34
-420,525,746,7,-5,33
-421,524,745,8,-6,32
-421,523,746,10,-8,32
-421,524,746,11,-9,31
-420,524,747,11,-8,29
-419,525,747,11,-7,28
-419,526,748,10,-7,25
-420,527,748,9,-6,23
-420,528,748,8,-6,21
-421,529,748,7,-7,21
-422,529,747,7,-7,21
-422,528,748,6,-7,22
-420,527,749,6,-7,22
-420,527,749,6,-7,22
-421,527,748,7,-7,22
-420,526,748,7,-8,22
-420,526,748,8,-9,22
-420,525,749,8,-10,22
-420,525,749,7,-10,22
-419,525,749,7,-10,22
-420,525,750,7,-11,21
-421,525,749,7,-11,21
-422,525,749,8,-12,21
-423,526,748,10,-15,22
-423,527,747,12,-19,23
-423,529,747,13,-23,24
-423,530,749,13,-27,25
-424,531,750,12,-30,27
-425,532,752,8,-34,28
-425,532,755,2,-38,29
-425,530,757,-4,-40,29
-425,527,758,-9,-42,28
-425,522,759,-14,-47,25
-425,515,762,-19,-52,20
-425,508,763,-24,-55,15
-425,499,763,-28,-58,9
-425,489,763,-33,-64,1
-422,476,764,-37,-70,-11
-419,465,765,-43,-75,-26
-415,454,769,-51,-80,-45
-410,445,774,-62,-87,-70
-405,438,781,-74,-97,-99
-401,432,787,-88,-106,-132
-397,426,793,-102,-115,-167
-395,419,799,-117,-122,-204
-394,410,804,-132,-128,-239
-397,398,808,-149,-137,-273
-402,382,811,-165,-151,-306
-408,362,817,-180,-169,-340
-412,337,824,-196,-182,-380
-412,307,830,-211,-197,-430
-409,269,837,-226,-221,-500
-406,228,842,-239,-240,-590
-396,185,847,-249,-271,-706
-382,137,855,-254,-315,-841
-369,84,867,-250,-360,-991
-353,31,878,-230,-402,-1148
-333,-17,886,-183,-441,-1313
-308,-62,864,-82,-501,-1490
-259,-104,830,65,-597,-1666
-152,-147,798,251,-669,-1862
6,-184,754,428,-686,-2093
229,-223,709,543,-671,-2369
425,-252,665,569,-633,-2615
595,-262,625,482,-572,-2738
738,-250,593,346,-499,-2722
841,-213,563,215,-409,-2574
906,-174,526,161,-350,-2294
959,-147,502,182,-339,-1973
1012,-126,511,248,-335,-1659
1057,-105,530,308,-315,-1388
1097,-82,548,346,-284,-1174
1131,-58,562,356,-243,-1014
1151,-36,571,334,-178,-903
1161,-20,576,287,-95,-817
1153,-13,583,223,3,-738
1112,-6,586,151,100,-645
1066,3,593,89,168,-538
1029,9,596,57,198,-420
1002,12,601,51,210,-303
974,17,613,75,220,-187
938,23,632,107,224,-74
908,30,649,139,216,43
889,40,660,168,205,151
871,55,672,193,197,248
844,72,686,210,200,336
816,88,704,215,206,416
788,103,718,209,217,485
759,116,728,198,231,544
729,133,737,189,244,593
695,151,746,184,257,633
658,170,753,184,265,670
623,186,757,187,268,703
586,205,764,193,264,735
548,224,766,200,260,770
514,243,768,209,256,803
480,263,765,219,245,835
448,281,764,231,232,862
418,300,767,239,222,882
389,318,766,242,215,895
356,335,764,243,208,902
326,352,761,240,194,905
297,368,759,234,178,906
266,384,755,225,168,907
234,400,746,219,162,909
193,416,735,220,152,919
155,432,727,227,137,935
126,449,725,235,118,951
100,465,729,242,99,964
81,481,737,244,77,969
65,498,749,239,57,965
49,514,762,226,48,951
32,527,773,205,52,928
11,539,781,179,59,901
-14,549,783,152,65,871
-40,558,784,127,65,844
-63,563,784,104,63,819
-86,566,785,83,63,795
-108,567,787,64,67,773
-127,566,786,48,73,749
-146,564,786,34,79,726
-164,561,784,23,83,700
-183,558,780,16,85,673
-202,555,776,13,83,646
-218,551,772,14,80,619
-230,550,769,18,74,591
-242,548,768,22,71,565
-256,547,768,25,69,540
-270,546,763,27,71,518
-283,545,756,30,70,499
-295,545,751,34,64,483
-305,545,746,38,55,468
-312,546,741,43,50,453
-320,546,739,46,44,440
-329,547,737,48,38,427
-337,547,736,49,31,416
-344,547,735,48,23,405
-354,545,734,47,16,397
-365,543,733,45,11,392
-373,539,732,45,6,388
-380,537,732,45,-0,383
-386,534,733,46,-3,376
-393,532,735,46,-4,366
-401,528,735,47,-5,354
-410,524,734,47,-7,340
-419,521,733,47,-8,327
-426,518,731,50,-9,313
-432,516,730,53,-11,299
-436,515,730,56,-14,282
-438,515,730,57,-17,263
-441,513,730,55,-18,242
-443,513,729,50,-18,220
-445,512,728,42,-17,199
-446,512,727,34,-17,177
-448,511,727,25,-16,156
-451,510,724,16,-17,137
-453,509,722,10,-18,121
-455,508,723,4,-20,107
-456,507,723,-0,-21,95
-457,507,724,-3,-24,85
-459,507,725,-6,-28,77
-460,507,726,-9,-31,70
-459,506,727,-11,-33,63
-459,506,729,-14,-36,57
-458,506,733,-18,-39,50
-457,506,736,-22,-41,44
-455,505,739,-26,-41,37
-454,504,743,-30,-40,31
-453,503,745,-32,-41,26
-451,502,746,-33,-43,22
